Company	Ticker	Year	Quarter	Rater	Type	Sentiment Score	Decision	Time	Prior Close	Next Day Open	Actual % Change	Actual Direction	Prediction Correct	Position	Net P&L	Notes
Goldman Sachs		2025	Q3	Ben/DeepSeek	LLM	0.28	BUY		775.38	753.38						Tone: confident. Risks: Investor exuberance and record-high equity markets could lead to a divergence where s; Potential credit cycle headwinds for all banks if a downturn occurs.. [Micro=0.30; Blend=0.28] [news]
Goldman Sachs		2025	Q4	Ben/DeepSeek	LLM	0.28	BUY		923.72	916.02						Tone: confident. Risks: Economic growth, policy uncertainty, geopolitical developments, and market volatility; The operating environment can shift quickly, and disciplined risk management remains. [Micro=0.30; Blend=0.28] [news]
IBM		2026	Q1	Ben/DeepSeek	LLM	0.27	BUY		250.02	230.57						Tone: confident. Risks: Potential energy impacts in Europe if straits remain closed (speculative, not yet mat; Currency headwinds from geographic mix affecting consulting margins.. [Micro=0.30; Blend=0.27] [news]
IBM		2025	Q2	Ben/DeepSeek	LLM	0.46	BUY		274.98	254.73						Tone: confident. Risks: Geopolitical tensions prompting a few clients to move cautiously.; US federal spending somewhat constrained in the first half.. [Micro=0.50; Blend=0.46] [news]
IBM		2025	Q4	Ben/DeepSeek	LLM	0.28	BUY		290.36	313.75						Tone: confident. Risks: Confluent acquisition expected to cause ~$600 million dilution in 2026, primarily fro; Infrastructure revenue expected to decline low single digits in 2026 due to product c. [Micro=0.35; Blend=0.28] [news]
Lowe's		2025	Q1	Ben/DeepSeek	LLM	0.04	HOLD		217.41	217.22						Tone: mixed. Risks: Ongoing pressure in DIY bigger ticket discretionary demand; Slower start to spring due to unfavorable weather. [Micro=0.00; Blend=0.04] [news]
Lowe's		2026	Q1	Ben/DeepSeek	LLM	0.00	HOLD		221.05	217.75						Tone: mixed. Risks: DIY demand remains under pressure, particularly in big-ticket discretionary categorie; Elevated interest rates, higher costs, and low housing turnover continue to challenge. [Micro=0.00; Blend=0.00] [news]
Lowe's		2025	Q2	Ben/DeepSeek	LLM	0.14	HOLD		253.52	252.48						Tone: confident. Risks: Elevated mortgage rates and cautious consumer affordability pressure.; Depressed housing market and lock-in effect from low housing turnover.. [Micro=0.20; Blend=0.14] [news]
Lowe's		2025	Q3	Ben/DeepSeek	LLM	-0.08	HOLD		226.30	225.98						Tone: cautious. Risks: Softer demand within an uncertain macro environment; Affordability and uncertainty weighing on consumer confidence, particularly for large. [Micro=-0.15; Blend=-0.08] [news]
Lowe's		2025	Q4	Ben/DeepSeek	LLM	-0.15	HOLD		261.76	262.08						Tone: cautious. Risks: Persistent volatility in housing macro and elevated mortgage rates creating a lock-in; Consumer confidence remains subdued given inflationary pressures and economic uncerta. [Micro=-0.15; Blend=-0.15] [news]
Lululemon		2026	Q1	Ben/DeepSeek	LLM	-0.46	SELL		124.92	110.43						Tone: cautious. Risks: Negative brand commentary in media and social channels impacting traffic and top line; Underperformance of certain product launches (e.g., Look of Yoga campaign). [Micro=-0.50; Blend=-0.46] [news]
Lululemon		2025	Q3	Ben/DeepSeek	LLM	-0.33	SELL		187.01	204.58						Tone: cautious. Risks: Tariffs and removal of de minimis provision causing significant margin pressure (410; U.S. revenue decline (down 3% in Q3) and soft demand post-Thanksgiving.. [Micro=-0.50; Blend=-0.33] [news]
Lululemon		2025	Q4	Ben/DeepSeek	LLM	-0.36	SELL		159.27	158.04						Tone: cautious. Risks: Gross margin decreased 550 bps primarily due to 560 bps drop in product margin includ; Operating margin dropped to 22.3% from 28.9% year over year, with continued margin pr. [Micro=-0.50; Blend=-0.36] [news]
Maersk		2025	Q1	Ben/DeepSeek	LLM	0.00	HOLD		6.99	7.13						Tone: mixed. Risks: Increased macroeconomic and geopolitical uncertainty, particularly from US-China trad; Global container market volume growth revised down to -1% to 4%.. [Micro=0.00; Blend=0.00]
Maersk		2025	Q2	Ben/DeepSeek	LLM	0.44	BUY		10.40	10.49						Tone: confident. Risks: Unprecedented geopolitical volatility and low visibility into macroeconomic factors.; Continued uncertainty around US trade policy and tariffs (effective container-weighte. [Micro=0.50; Blend=0.44] [news]
Maersk		2025	Q3	Ben/DeepSeek	LLM	0.32	BUY		10.08	9.52						Tone: confident. Risks: Continued pressure on Ocean freight rates, which declined 31% year-on-year.; Ongoing uncertainty in the geopolitical environment, including the Red Sea disruption. [Micro=0.35; Blend=0.32] [news]
Maersk		2025	Q4	Ben/DeepSeek	LLM	-0.50	SELL		4.44	4.31						Tone: cautious. Risks: Industry overcapacity from new vessel deliveries; Potential full Red Sea reopening in 2026, which would add further capacity. [Micro=-0.50; Blend=-0.50]
McDonald's		2026	Q1	Ben/DeepSeek	LLM	-0.06	HOLD		281.79	283.08						Tone: mixed. Risks: U.S. company-operated restaurant margins described as 'not acceptable,' prompting man; Franchisee profitability under pressure in both the U.S. and IOM segments due to pers. [Micro=-0.10; Blend=-0.06] [news]
McDonald's		2024	Q4	Ben/DeepSeek	LLM	-0.02	HOLD		297.70	296.68						Tone: cautious. Risks: E. coli outbreak impact on U.S. Q4 comps and recovery expected by beginning of Q2 202; Pressure on low-income and family consumer cohorts, particularly in Europe, with low-. [Micro=-0.10; Blend=-0.02] [news]
McDonald's		2025	Q4	Ben/DeepSeek	LLM	0.24	HOLD		319.25	325.79						Tone: confident. Risks: Challenging QSR industry environment in U.S. and many markets expected to persist in; Severe weather impacts in U.S. in late January estimated at about 100 basis points fo. [Micro=0.25; Blend=0.24] [news]
Meta		2026	Q1	Ben/DeepSeek	LLM	-0.46	SELL		668.50	618.75						Tone: mixed. Risks: Legal and regulatory headwinds in the EU and US could significantly impact results.; Higher component costs, especially memory, are driving the capex increases.. [Micro=-0.50; Blend=-0.46] [news]
Meta		2025	Q3	Ben/DeepSeek	LLM	-0.40	SELL		749.72	667.41						Tone: mixed. Risks: EU regulatory risk, with the Commission possibly imposing further changes that could; US youth-safety litigation with trials scheduled for 2026 that may result in a materi. [Micro=-0.45; Blend=-0.40] [news]
Meta		2025	Q4	Ben/DeepSeek	LLM	0.37	BUY		667.54	736.12						Tone: confident. Risks: Legal and regulatory headwinds in the EU and US, with trials scheduled this year that; Reality Labs losses expected to stay near 2025 levels before improving.. [Micro=0.50; Blend=0.37] [news]
Nike		2025	Q1	Ben/DeepSeek	LLM	-0.36	SELL		85.31	79.34						Tone: cautious. Risks: Elevated inventory requiring higher promotional activity and creating gross margin pr; Traffic declines across NIKE Direct and partner stores in Greater China were more sig. [Micro=-0.50; Blend=-0.36] [news]
Nike		2025	Q2	Ben/DeepSeek	LLM	-0.34	SELL		74.17	73.07						Tone: cautious. Risks: Higher markdowns and promotional activity pressuring margins; Classic footwear franchise deceleration expected to continue for several quarters. [Micro=-0.50; Blend=-0.34] [news]
Nike		2025	Q3	Ben/DeepSeek	LLM	-0.34	SELL		69.48	64.38						Tone: mixed. Risks: Higher discounts and markdowns pressuring margins; Inventory obsolescence reserves increased. [Micro=-0.50; Blend=-0.34] [news]
Nvidia		2025	Q1	Ben/DeepSeek	LLM	-0.46	SELL		131.08	134.80						Tone: mixed. Risks: Gross margin trough during Blackwell ramp, with recovery back-loaded and unproven.; Tariffs explicitly described as 'a little bit of an unknown' with no quantification.. [Micro=-0.50; Blend=-0.46] [news]
Nvidia		2025	Q2	Ben/DeepSeek	LLM	0.25	HOLD		134.62	142.05						Tone: confident. Risks: Losing access to the China AI accelerator market, which we believe will grow to nearl; The H20 export ban ended our Hopper Data Center business in China; we cannot reduce H. [Micro=0.35; Blend=0.25] [news]
Nvidia		2025	Q3	Ben/DeepSeek	LLM	0.42	BUY		181.36	180.58						Tone: confident. Risks: Data Center revenue of $41.1B slightly below the $41.34B StreetAccount consensus, the; Compute revenue declined 1% sequentially due to the $4.0B H20 hole from China export. [Micro=0.60; Blend=0.42] [news]
Nvidia		2025	Q4	Ben/DeepSeek	LLM	0.57	BUY		186.28	195.70						Tone: confident. Risks: China revenue constraints: 'Sizable purchase orders never materialized in the quarter; Rising input costs: 'input costs are on the rise but we are working to hold gross mar. [Micro=0.75; Blend=0.57] [news]
Tesla		2026	Q1	Ben/DeepSeek	LLM	0.32	BUY		387.51	375.28						Tone: mixed. Risks: Battery pack capacity called the biggest limiter on production growth.; Negative free cash flow through 2026 during the investment phase.. [Micro=0.35; Blend=0.32] [news]
Tesla		2025	Q3	Ben/DeepSeek	LLM	0.42	BUY		438.97	420.00						Tone: confident. Risks: Tariff impacts above $400M in the quarter across autos and energy.; Intensifying competition and cost pressure in energy storage.. [Micro=0.60; Blend=0.42] [news]
Tesla		2025	Q4	Ben/DeepSeek	LLM	0.52	BUY		431.46	437.80						Tone: confident. Risks: Energy margin compression from low-cost competition and tariffs.; Short-term automotive margin pressure as FSD shifts toward subscriptions.. [Micro=0.60; Blend=0.52] [news]
Uber		2025	Q1	Ben/DeepSeek	LLM	0.17	HOLD		85.83	83.13						Tone: confident. Risks: Insurance costs remain a headwind, though moderating to high-single digits in 2025.; Macroeconomic uncertainty from trade and economic policy headlines, though no signifi. [Micro=0.25; Blend=0.17] [news]
Uber		2026	Q1	Ben/DeepSeek	LLM	0.21	HOLD		72.95	77.46						Tone: confident. Risks: Complex backdrop marked by war and weather.; AV scaling requires time for regulatory dialogue and fleet management.. [Micro=0.30; Blend=0.21] [news]
Uber		2025	Q2	Ben/DeepSeek	LLM	0.18	HOLD		89.39	90.95						Tone: confident. Risks: n/a. [Micro=0.30; Blend=0.18] [news]
Uber		2025	Q4	Ben/DeepSeek	LLM	0.24	HOLD		77.93	75.62						Tone: confident. Risks: Autonomous vehicle competition and market share impact in major cities (analyst quest; Potential capital intensity of AV fleet investments (analyst question).. [Micro=0.30; Blend=0.24] [news]
Walmart		2025	Q1	Ben/DeepSeek	LLM	0.10	HOLD		96.03	93.52						Tone: mixed. Risks: Tariffs: 'the magnitude of the tariffs, even at the reduced levels announced this wee; Tariff uncertainty: 'the range of possible outcomes is much greater than when we orig. [Micro=0.10; Blend=0.10] [news]
Walmart		2026	Q1	Ben/DeepSeek	LLM	0.06	HOLD		130.85	124.41						Tone: confident. Risks: Higher fuel costs: absorbed approximately $175 million (250 bps of operating income g; Consumer pressure: lower-income consumers are budget-conscious; gallons per fuel fill. [Micro=0.15; Blend=0.06] [news]
Walmart		2025	Q2	Ben/DeepSeek	LLM	0.24	HOLD		101.96	98.82						Tone: confident. Risks: Higher self-insured general liability claims expense: $450 million incremental in Q2,; Tariff-related cost pressures: 'as we replenish inventory at post-tariff price levels. [Micro=0.30; Blend=0.24] [news]
Walmart		2025	Q3	Ben/DeepSeek	LLM	0.37	BUY		100.01	103.32						Tone: confident. Risks: Lower-income households under additional pressure, with some moderation in spending.; Merchandise category mix headwind to gross margin, as grocery and health & wellness o. [Micro=0.50; Blend=0.37] [news]
Walmart		2025	Q4	Ben/DeepSeek	LLM	0.18	HOLD		126.12	127.99						Tone: confident. Risks: Tariff environment and trade policy uncertainty; Maximum Fair Pricing legislation creating ~100 bps headwind to health & wellness sale. [Micro=0.30; Blend=0.18] [news]
Bank of America		2025	Q1	Ben/DeepSeek	LLM	-0.02	HOLD		36.96	36.84						Tone: confident. Risks: Potential impact of a changing economy on future performance (CEO: 'we potentially fa; Interest rate sensitivity: a 100 bps parallel shift below the March 31, 2025 forward. [Micro=0.00; Blend=-0.02] [news]
Bank of America		2025	Q2	Ben/DeepSeek	LLM	0.12	HOLD		45.17	45.26						Tone: confident. Risks: A 100 bps parallel shift below the June 30, 2025 forward interest rate yield curve is; Provision for credit losses increased to $1.6B from $1.5B in both 1Q25 and 2Q24, with. [Micro=0.15; Blend=0.12] [news]
Bank of America		2025	Q3	Ben/DeepSeek	LLM	0.24	HOLD		49.29	50.75						Tone: confident. Risks: 100 bps parallel shift below the September 30, 2025, forward interest rate yield curv; Provision for credit losses of $1.3B, though down from prior periods, remains a mater. [Micro=0.30; Blend=0.24] [news]
Bank of America		2025	Q4	Ben/DeepSeek	LLM	0.20	HOLD		53.95	52.31						Tone: confident. Risks: Impact of lower interest rates on net interest income: '100 bps parallel shift below; Higher noninterest expense driven by investments in people, brand, and technology, an. [Micro=0.25; Blend=0.20] [news]
Boeing		2025	Q1	Ben/DeepSeek	LLM	0.26	BUY		172.37	171.20						Tone: confident. Risks: China tariffs: ~50 China deliveries at risk; customers have indicated they will not t; Input cost tariffs: net annual impact less than $500M, with potential supply chain co. [Micro=0.25; Blend=0.26] [news]
Boeing		2025	Q2	Ben/DeepSeek	LLM	0.20	HOLD		226.08	227.84						Tone: confident. Risks: Ongoing quality and safety issues: 'Our fundamental changes to strengthen safety and; DOJ non-prosecution agreement charge: 'Unallocated items, eliminations and other incl. [Micro=0.20; Blend=0.20] [news]
Boeing		2025	Q3	Ben/DeepSeek	LLM	-0.36	SELL		213.58	210.01						Tone: mixed. Risks: 777X program charge of $4.9 billion due to updated certification timeline, with first; Ongoing production stabilization efforts for 737 and 787 programs.. [Micro=-0.50; Blend=-0.36] [news]
Disney		2025	Q1	Ben/DeepSeek	LLM	0.13	HOLD		100.21	102.05						Tone: confident. Risks: Rapidly evolving macro environment cited as reason for not changing guidance; Potential impact of cord-cutting on linear networks, though management sees linear as. [Micro=0.20; Blend=0.13] [news]
Disney		2025	Q3	Ben/DeepSeek	LLM	0.14	HOLD		116.63	114.13						Tone: confident. Risks: China consumer per caps stress: 'China, as we've noted on past calls, is a little bit; Competitive park openings: 'In light of the fact that there's a competitive offering. [Micro=0.25; Blend=0.14] [news]
Disney		2025	Q4	Ben/DeepSeek	LLM	0.27	BUY		114.99	107.34						Tone: confident. Risks: Ongoing carriage dispute with YouTube TV; management built a hedge into guidance for; NBA rights costs create bumpiness in ESPN's quarterly results, with material growth e. [Micro=0.30; Blend=0.27] [news]
JPMorgan		2025	Q1	Ben/DeepSeek	LLM	-0.46	SELL		221.78	221.00						Tone: cautious. Risks: Elevated uncertainty from tariff policy and geopolitical issues, with a 50-50 probabi; Lower expected front-end rates (three cuts in the curve vs. one cut last quarter) cre. [Micro=-0.50; Blend=-0.46] [news]
JPMorgan		2025	Q2	Ben/DeepSeek	LLM	0.28	BUY		281.17	282.99						Tone: confident. Risks: Impact of lower rates and deposit margin compression on NII.; Higher expenses driven by compensation, brokerage, distribution fees, and auto lease. [Micro=0.30; Blend=0.28] [news]
JPMorgan		2025	Q3	Ben/DeepSeek	LLM	0.12	HOLD		297.85	302.10						Tone: confident. Risks: Potentially softening labor market.; Wholesale charge-offs slightly elevated due to apparent fraud in certain secured lend. [Micro=0.15; Blend=0.12] [news]
JPMorgan		2025	Q4	Ben/DeepSeek	LLM	0.13	HOLD		307.93	305.26						Tone: optimistic. Risks: Potential credit card APR caps could dramatically reduce access to credit and harm th; Geopolitical risk is described as 'an enormous amount of risk' that may affect the ec. [Micro=0.20; Blend=0.13] [news]
Netflix		2025	Q1	Ben/DeepSeek	LLM	0.13	HOLD		97.30	98.44						Tone: confident. Risks: Brazilian tax matter (CIDE) resulted in a one-time charge of approximately $0.9 billi; Potential ongoing exposure to the Brazilian tax if future payments are subject to the. [Micro=0.20; Blend=0.13] [news]
Netflix		2026	Q1	Ben/DeepSeek	LLM	0.16	HOLD		107.79	96.37						Tone: confident. Risks: Warner Bros. deal costs pulled forward into 2026, though no material impact on operat; Nielsen methodology change reduces reported streaming viewership, but management stat. [Micro=0.20; Blend=0.16] [news]
Netflix		2025	Q2	Ben/DeepSeek	LLM	0.27	BUY		127.42	124.20						Tone: confident. Risks: Pending Warner Bros. acquisition regulatory approval (structural risk, not yet closed; Content amortization growth forecast of 10% in 2026, implying acceleration from 2025.. [Micro=0.30; Blend=0.27] [news]
Netflix		2025	Q3	Ben/DeepSeek	LLM	-0.03	HOLD		124.14	114.29						Tone: confident. Risks: The EPS/margin miss itself, even if one-time.; Brazil Supreme Court ruled against Netflix 7–4 on the tax scope; the tax is now a per. [Micro=0.00; Blend=-0.03] [news]
Netflix		2024	Q4	Ben/DeepSeek	LLM	0.80	BUY		86.97	99.80						Tone: confident. Risks: Full-season big-league sports economics remain tough (Sarandos admission).. [Micro=0.80; Blend=0.80]
Netflix		2025	Q4	Ben/DeepSeek	LLM	0.42	BUY		87.26	82.52						Tone: confident. Risks: Growth decelerating from 16% to 14%.; WBD deal integration cost and ~0.5pt margin drag.. [Micro=0.60; Blend=0.42] [news]
Target		2025	Q1	Ben/DeepSeek	LLM	-0.43	SELL		89.11	88.31						Tone: cautious. Risks: Continued top-line pressure expected in near term; Tariff uncertainty and potential impact on costs and pricing. [Micro=-0.50; Blend=-0.43] [news]
Target		2026	Q1	Ben/DeepSeek	LLM	0.20	HOLD		122.33	120.83						Tone: mixed. Risks: Tougher prior-year comparison in Q2 (nearly 2 percentage point difference due to Nint; Higher tax refunds in Q1 seen as a temporary benefit that will fade over the rest of. [Micro=0.30; Blend=0.20] [news]
Target		2025	Q2	Ben/DeepSeek	LLM	-0.02	HOLD		95.58	95.38						Tone: mixed. Risks: Tariff environment remains challenging and highly uncertain, with potential for furth; Consumer spending pressure due to inflation and uncertainty around tariffs.. [Micro=0.00; Blend=-0.02] [news]
Target		2025	Q3	Ben/DeepSeek	LLM	-0.45	SELL		84.42	84.49						Tone: mixed. Risks: Continued softness in discretionary categories like Home and Apparel.; Volatility in weekly and monthly sales trends.. [Micro=-0.50; Blend=-0.45] [news]
